DATE,EXPNONVI
1995-08-01,0.2
1995-09-01,.
1995-10-01,0.0
1995-11-01,.
1995-12-01,.
1996-01-01,.
1996-02-01,.
1996-03-01,.
1996-04-01,.
1996-05-01,.
1996-06-01,.
1996-07-01,.
1996-08-01,.
1996-09-01,0.0
1996-10-01,.
1996-11-01,.
1996-12-01,0.0
1997-01-01,.
1997-02-01,.
1997-03-01,.
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,1.0
1998-01-01,0.1
1998-02-01,0.0
1998-03-01,.
1998-04-01,.
1998-05-01,.
1998-06-01,.
1998-07-01,0.1
1998-08-01,.
1998-09-01,.
1998-10-01,.
1998-11-01,.
1998-12-01,.
1999-01-01,.
1999-02-01,.
1999-03-01,.
1999-04-01,0.0
1999-05-01,.
1999-06-01,0.0
1999-07-01,.
1999-08-01,.
1999-09-01,.
1999-10-01,.
1999-11-01,.
1999-12-01,.
2000-01-01,.
2000-02-01,0.1
2000-03-01,0.1
2000-04-01,.
2000-05-01,.
2000-06-01,.
2000-07-01,.
2000-08-01,.
2000-09-01,.
2000-10-01,0.1
2000-11-01,0.1
2000-12-01,.
2001-01-01,.
2001-02-01,.
2001-03-01,.
2001-04-01,.
2001-05-01,.
2001-06-01,.
2001-07-01,.
2001-08-01,.
2001-09-01,0.0
2001-10-01,.
2001-11-01,.
2001-12-01,.
2002-01-01,0.1
2002-02-01,.
2002-03-01,0.1
2002-04-01,.
2002-05-01,.
2002-06-01,.
2002-07-01,.
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.1
2003-03-01,0.1
2003-04-01,0.0
2003-05-01,.
2003-06-01,0.7
2003-07-01,0.1
2003-08-01,.
2003-09-01,.
2003-10-01,0.1
2003-11-01,0.1
2003-12-01,0.1
2004-01-01,.
2004-02-01,0.1
2004-03-01,0.9
2004-04-01,0.1
2004-05-01,2.1
2004-06-01,0.2
2004-07-01,.
2004-08-01,1.2
2004-09-01,.
2004-10-01,0.6
2004-11-01,.
2004-12-01,1.9
2005-01-01,0.1
2005-02-01,0.1
2005-03-01,.
2005-04-01,1.7
2005-05-01,.
2005-06-01,.
2005-07-01,0.4
2005-08-01,.
2005-09-01,.
2005-10-01,.
2005-11-01,17.9
2005-12-01,.
2006-01-01,.
2006-02-01,.
2006-03-01,.
2006-04-01,0.2
2006-05-01,.
2006-06-01,.
2006-07-01,.
2006-08-01,.
2006-09-01,.
2006-10-01,.
2006-11-01,.
2006-12-01,1.8
2007-01-01,1.3
2007-02-01,0.1
2007-03-01,0.5
2007-04-01,0.1
2007-05-01,0.2
2007-06-01,0.1
2007-07-01,0.2
2007-08-01,0.2
2007-09-01,0.1
2007-10-01,0.1
2007-11-01,0.5
2007-12-01,0.1
2008-01-01,.
2008-02-01,0.1
2008-03-01,0.1
2008-04-01,0.2
2008-05-01,0.6
2008-06-01,0.4
2008-07-01,0.2
2008-08-01,18.9
2008-09-01,0.2
2008-10-01,0.1
2008-11-01,0.1
2008-12-01,4.2
2009-01-01,0.1
2009-02-01,.
2009-03-01,0.2
2009-04-01,2.0
2009-05-01,0.2
2009-06-01,0.6
2009-07-01,0.4
2009-08-01,.
2009-09-01,1.3
2009-10-01,.
2009-11-01,2.7
2009-12-01,6.8
2010-01-01,0.1
2010-02-01,0.1
2010-03-01,0.1
2010-04-01,3.3
2010-05-01,1.5
2010-06-01,8.9
2010-07-01,10.1
2010-08-01,0.7
2010-09-01,2.5
2010-10-01,4.8
2010-11-01,0.1
2010-12-01,3.3
2011-01-01,6.6
2011-02-01,6.6
2011-03-01,0.1
2011-04-01,8.4
2011-05-01,21.4
2011-06-01,5.4
2011-07-01,4.5
2011-08-01,4.8
2011-09-01,0.9
2011-10-01,0.8
2011-11-01,3.5
2011-12-01,0.1
2012-01-01,4.3
2012-02-01,0.1
2012-03-01,0.1
2012-04-01,3.3
2012-05-01,0.7
2012-06-01,.
2012-07-01,.
2012-08-01,0.3
2012-09-01,.
2012-10-01,1.1
2012-11-01,0.3
2012-12-01,0.2
2013-01-01,0.510014
2013-02-01,0.21875
2013-03-01,0.086394
2013-04-01,1.195074
2013-05-01,0.080183
2013-06-01,0.275267
2013-07-01,0.152888
2013-08-01,0.035
2013-09-01,0.253065
2013-10-01,0.023653
2013-11-01,0.318866
2013-12-01,0.094907
2014-01-01,0.06975
2014-02-01,0.171504
2014-03-01,0.362226
2014-04-01,0.41526
2014-05-01,0.393664
2014-06-01,1.511014
2014-07-01,0.10375
2014-08-01,0.144252
2014-09-01,0.283607
2014-10-01,0.423268
2014-11-01,0.133
2014-12-01,0.022188
2015-01-01,0.223613
2015-02-01,0.352281
2015-03-01,0.072576
2015-04-01,0.247634
2015-05-01,0.098459
2015-06-01,0.156023
